Areaname,STCOU,PST035195D,IPE120205D,CRM160205D
"Guadalupe, TX",48187,74333,10.9,29
"Hale, TX",48189,36436,20.8,21
"Hall, TX",48191,3836,24.9,1
"Hamilton, TX",48193,7793,15.9,1
"Hansford, TX",48195,5264,15.6,0
"Hardeman, TX",48197,5066,18.8,0
"Hardin, TX",48199,45851,11.5,6
"Harris, TX",48201,3121621,17.9,13324
"Harrison, TX",48203,59806,18.5,31
"Hartley, TX",48205,5223,9.1,1
"Haskell, TX",48207,6402,23.5,0
"Hays, TX",48209,78956,13.1,36
"Hemphill, TX",48211,3580,9.3,0
"Henderson, TX",48213,64727,18.2,29
"Hidalgo, TX",48215,487593,40.7,515
"Hill, TX",48217,29272,18.2,17
"Hockley, TX",48219,23640,17.1,6
"Hood, TX",48221,34071,12.6,4
"Hopkins, TX",48223,30267,17.2,4
"Houston, TX",48225,22322,27.1,4
"Howard, TX",48227,33510,22.5,14
"Hudspeth, TX",48229,3109,32,1
"Hunt, TX",48231,68478,15.8,60
"Hutchinson, TX",48233,24655,13.4,6
"Irion, TX",48235,1677,9.2,0
"Jack, TX",48237,7597,14.5,0
"Jackson, TX",48239,13956,15.5,2
"Jasper, TX",48241,33575,19,22
"Jeff Davis, TX",48243,1954,13.1,0
"Jefferson, TX",48245,251054,19.7,484
"Jim Hogg, TX",48247,5202,26,0
"Jim Wells, TX",48249,38903,24.7,19
"Johnson, TX",48251,108010,12.3,44
"Jones, TX",48253,19599,22.2,11
"Karnes, TX",48255,12609,27.8,0
"Kaufman, TX",48257,60166,10.7,45
"Kendall, TX",48259,19903,9,3
"Kenedy, TX",48261,420,16.8,0
"Kent, TX",48263,904,11.1,0
"Kerr, TX",48265,40307,14.5,21
"Kimble, TX",48267,4231,18.5,1
"King, TX",48269,335,13.5,0
"Kinney, TX",48271,3293,22.9,0
"Kleberg, TX",48273,31195,25.3,17
"Knox, TX",48275,4630,26.1,1
"Lamar, TX",48277,46084,19,43
"Lamb, TX",48279,14819,20.6,1
"Lampasas, TX",48281,16319,17.6,1
"La Salle, TX",48283,5907,30.6,0
"Lavaca, TX",48285,18850,14.2,2
"Lee, TX",48287,14237,12.6,5
"Leon, TX",48289,13949,14.7,1
"Liberty, TX",48291,62539,18.4,21
"Limestone, TX",48293,21422,20.3,12
"Lipscomb, TX",48295,3031,14.9,0
"Live Oak, TX",48297,11237,21.8,0
"Llano, TX",48299,14090,12.4,1
"Loving, TX",48301,111,25.2,0
"Lubbock, TX",48303,238423,19.4,323
"Lynn, TX",48305,6440,21.2,0
"McCulloch, TX",48307,8208,23.1,1
"McLennan, TX",48309,202692,18.9,290
"McMullen, TX",48311,840,14.5,0
"Madison, TX",48313,12079,21.6,5
"Marion, TX",48315,10139,22.8,2
"Martin, TX",48317,4866,19.3,0
"Mason, TX",48319,3600,13.8,0
"Matagorda, TX",48321,38235,21.3,43
"Maverick, TX",48323,43642,29.5,12
"Medina, TX",48325,33838,17.4,8
"Menard, TX",48327,2428,26,0
"Midland, TX",48329,113627,14.9,56
"Milam, TX",48331,23450,18.3,5
"Mills, TX",48333,4897,14.7,0
"Mitchell, TX",48335,9089,25.7,1
"Montague, TX",48337,18008,14.1,9
"Montgomery, TX",48339,231816,11,231
"Moore, TX",48341,19343,14,0
"Morris, TX",48343,13127,20.5,3
"Motley, TX",48345,1369,19,0
"Nacogdoches, TX",48347,57171,20.7,38
"Navarro, TX",48349,42143,20.1,21
"Newton, TX",48351,14816,22.6,1
"Nolan, TX",48353,16151,21.8,10
"Nueces, TX",48355,310435,19.9,503
"Ochiltree, TX",48357,8709,13.3,0
"Oldham, TX",48359,2224,13.9,0
"Orange, TX",48361,83983,15.7,71
"Palo Pinto, TX",48363,25298,16.7,9
"Panola, TX",48365,22510,15.8,6
"Parker, TX",48367,73793,9.5,18
"Parmer, TX",48369,10061,15,2
"Pecos, TX",48371,17006,23.5,3
"Polk, TX",48373,36794,19.1,8
"Potter, TX",48375,109600,21.1,202
"Presidio, TX",48377,6866,31.3,0
"Rains, TX",48379,7652,16.2,0
"Randall, TX",48381,96964,8.2,150
"Reagan, TX",48383,3976,13.5,0
"Real, TX",48385,2731,22.6,0
"Red River, TX",48387,14268,18.8,1
"Reeves, TX",48389,14534,29.3,2
"Refugio, TX",48391,7844,17.1,0
"Roberts, TX",48393,944,7.3,0
"Robertson, TX",48395,15738,20.7,6
"Rockwall, TX",48397,33428,5,18
"Runnels, TX",48399,11402,21.2,0
"Rusk, TX",48401,45844,15.5,14
"Sabine, TX",48403,10388,17.5,1
"San Augustine, TX",48405,8459,23.9,1
"San Jacinto, TX",48407,18824,20.4,6
"San Patricio, TX",48409,63602,16.8,29
"San Saba, TX",48411,6263,19.4,0
"Schleicher, TX",48413,3065,16.6,0
"Scurry, TX",48415,17703,18.1,5
"Shackelford, TX",48417,3280,13.5,0
"Shelby, TX",48419,23749,20.3,9
"Sherman, TX",48421,2995,16.4,0
"Smith, TX",48423,163440,16.1,201
"Somervell, TX",48425,5934,10.7,0
"Starr, TX",48427,49598,45.7,20
"Stephens, TX",48429,9595,19.9,0
"Sterling, TX",48431,1535,14,0
"Stonewall, TX",48433,1909,18.8,0
"Sutton, TX",48435,4360,14.5,0
"Swisher, TX",48437,8661,20.2,2
"Tarrant, TX",48439,1294453,13.4,2547
"Taylor, TX",48441,124256,18.5,144
"Terrell, TX",48443,1263,19.9,0
"Terry, TX",48445,13080,24.2,5
"Throckmorton, TX",48447,1939,14.7,0
"Titus, TX",48449,26092,17.7,13
"Tom Green, TX",48451,101962,17.2,40
"Travis, TX",48453,696278,15.5,1232
"Trinity, TX",48455,12702,20.9,6
"Tyler, TX",48457,19653,19.6,3
"Upshur, TX",48459,33527,16.4,13
"Upton, TX",48461,3871,18.5,0
"Uvalde, TX",48463,24721,25.8,7
"Val Verde, TX",48465,41956,26,13
"Van Zandt, TX",48467,42550,17.6,8
"Victoria, TX",48469,80646,15.3,60
"Walker, TX",48471,57383,22.6,31
"Waller, TX",48473,27591,18.7,24
"Ward, TX",48475,11863,19,0
"Washington, TX",48477,28644,16.1,15
"Webb, TX",48479,167466,30.8,253
"Wharton, TX",48481,40403,16,30
"Wheeler, TX",48483,5472,14,0
"Wichita, TX",48485,129302,14.6,244
"Wilbarger, TX",48487,14711,18.1,5
"Willacy, TX",48489,19379,38.2,9
"Williamson, TX",48491,181608,6,83
"Wilson, TX",48493,27112,11.8,3
"Winkler, TX",48495,7696,18.5,0
"Wise, TX",48497,39196,10.7,5
"Wood, TX",48499,33445,17.1,1
"Yoakum, TX",48501,8018,17.7,0
"Young, TX",48503,17906,17.1,1
"Zapata, TX",48505,11116,34.2,0
"Zavala, TX",48507,12035,37.6,2
UTAH,49000,2014177,10.5,1100
"Beaver, UT",49001,5394,10.4,1
"Box Elder, UT",49003,39077,7.1,6
"Cache, UT",49005,84006,14.9,7
"Carbon, UT",49007,20296,15.1,1
"Daggett, UT",49009,817,6.9,0
"Davis, UT",49011,214622,6.2,48
"Duchesne, UT",49013,13645,14.7,0
"Emery, UT",49015,10493,13.1,1
"Garfield, UT",49017,4311,10,0
"Grand, UT",49019,7879,16.3,3
"Iron, UT",49021,27707,15.4,4
"Juab, UT",49023,6813,10.6,0
"Kane, UT",49025,5869,10.4,0
"Millard, UT",49027,12167,13.3,0
"Morgan, UT",49029,6487,4.9,0
"Piute, UT",49031,1402,17.1,0
"Rich, UT",49033,1832,10,1
"Salt Lake, UT",49035,836008,10,778
"San Juan, UT",49037,14234,32.5,0
"Sanpete, UT",49039,19546,15.8,0
"Sevier, UT",49041,17183,12.7,1
"Summit, UT",49043,23902,5.6,7
"Tooele, UT",49045,30345,7.5,7
"Uintah, UT",49047,24446,13.4,6
"Utah, UT",49049,318391,12.3,61
"Wasatch, UT",49051,12143,7.1,0
"Washington, UT",49053,72261,10.4,14
"Wayne, UT",49055,2355,13.7,0
"Weber, UT",49057,180546,10.9,154
VERMONT,50000,589002,10.4,72
"Addison, VT",50001,34599,9.7,0
"Bennington, VT",50003,36680,10.7,4
"Caledonia, VT",50005,28934,14.3,3
"Chittenden, VT",50007,140104,10.4,32
"Essex, VT",50009,6403,13.2,0
"Franklin, VT",50011,43163,10.5,4
"Grand Isle, VT",50013,6033,7.7,0
"Lamoille, VT",50015,21523,10.8,0
"Orange, VT",50017,27309,9.2,2
"Orleans, VT",50019,25229,13.7,0
"Rutland, VT",50021,62912,11.2,11
"Washington, VT",50023,56930,8.5,7
"Windham, VT",50025,43433,10.7,4
"Windsor, VT",50027,55750,8.7,5
VIRGINIA,51000,6670693,10,7444
"Accomack, VA",51001,35024,18.3,19
"Albemarle, VA",51003,74817,7,26
"Alleghany, VA",51005,12666,11.6,0
"Amelia, VA",51007,9965,9.9,0
"Amherst, VA",51009,30387,12,8
"Appomattox, VA",51011,12953,12.1,2
"Arlington, VA",51013,181741,7.7,163
"Augusta, VA",51015,60358,7.4,12
"Bath, VA",51017,4954,7.7,0
"Bedford, VA",51019,54582,7.8,5
"Bland, VA",51021,6866,13.5,0
"Botetourt, VA",51023,27855,6.1,2
"Brunswick, VA",51025,16319,20.1,2
"Buchanan, VA",51027,29862,26.6,6
"Buckingham, VA",51029,14684,20.8,3
"Campbell, VA",51031,49648,11.2,11
"Caroline, VA",51033,21008,9.9,4
"Carroll, VA",51035,28253,16.4,6
"Charles City, VA",51036,6598,10.9,1
"Charlotte, VA",51037,12271,17.4,1
"Chesterfield, VA",51041,240360,6.4,242
"Clarke, VA",51043,12243,6.6,2
"Craig, VA",51045,4837,10.4,0
"Culpeper, VA",51047,31416,9.1,17
"Cumberland, VA",51049,8355,16.1,0
"Dickenson, VA",51051,17440,22.8,1
"Dinwiddie, VA",51053,24245,10.2,16
"Essex, VA",51057,9623,12.6,5
"Fairfax, VA",51059,891373,5.1,288
"Fauquier, VA",51061,50418,5.2,11
"Floyd, VA",51063,12882,12.3,0
"Fluvanna, VA",51065,15770,7.8,1
"Franklin, VA",51067,43525,10.5,8
"Frederick, VA",51069,53362,6.5,8
"Giles, VA",51071,16432,12.2,7
"Gloucester, VA",51073,32698,8.8,1
"Goochland, VA",51075,15953,6.7,1
"Grayson, VA",51077,17045,16.7,1
"Greene, VA",51079,12743,8,0
"Greensville, VA",51081,11051,19,4
"Halifax, VA",51083,37643,15.6,14
"Hanover, VA",51085,74446,4.8,30
"Henrico, VA",51087,244162,7.9,287
"Henry, VA",51089,57820,14.7,27
"Highland, VA",51091,2566,12.8,0
"Isle of Wight, VA",51093,27614,8.6,14
"James City, VA",51095,40819,6.1,10
"King and Queen, VA",51097,6462,13.4,0
"King George, VA",51099,15738,6.2,2
"King William, VA",51101,12140,6.8,1
"Lancaster, VA",51103,11349,13.6,1
"Lee, VA",51105,24312,26.4,6
"Loudoun, VA",51107,116877,2.7,69
"Louisa, VA",51109,22855,11.3,3
"Lunenburg, VA",51111,11887,22.8,2
"Madison, VA",51113,12182,9.8,0
"Mathews, VA",51115,8796,8.1,1
"Mecklenburg, VA",51117,31289,16.4,14
"Middlesex, VA",51119,9319,13.3,0
"Montgomery, VA",51121,78881,20.9,23
"Nelson, VA",51125,13355,11.9,1
"New Kent, VA",51127,11806,5.2,1
"Northampton, VA",51131,13142,19.9,14
"Northumberland, VA",51133,11437,12.4,0
"Nottoway, VA",51135,15476,19.4,7
"Orange, VA",51137,23774,8.4,3
"Page, VA",51139,22636,13.3,1
"Patrick, VA",51141,18361,16.1,1
"Pittsylvania, VA",51143,58468,14.3,13
"Powhatan, VA",51145,18726,5.9,1
"Prince Edward, VA",51147,18900,22.2,7
"Prince George, VA",51149,29700,9.2,9
"Prince William, VA",51153,243568,5,262
"Pulaski, VA",51155,34473,15.7,16
"Rappahannock, VA",51157,6742,7.1,0
"Richmond, VA",51159,8505,17,0
"Roanoke, VA",51161,82841,5.9,15
"Rockbridge, VA",51163,19401,9.8,2
"Rockingham, VA",51165,64746,8,2
"Russell, VA",51167,29801,19.3,8
"Scott, VA",51169,23521,17.9,5
"Shenandoah, VA",51171,33080,8.4,0
"Smyth, VA",51173,33317,13.3,0
"Southampton, VA",51175,17723,15.1,4
"Spotsylvania, VA",51177,73781,5.5,20
"Stafford, VA",51179,78369,4.6,20
"Surry, VA",51181,6590,11.9,1
"Sussex, VA",51183,10156,19.5,3
"Tazewell, VA",51185,46244,17.3,12
"Warren, VA",51187,29428,9.8,8
"Washington, VA",51191,48768,11,9
"Westmoreland, VA",51193,16652,16,5
"Wise, VA",51195,39800,23.3,4
"Wythe, VA",51197,26757,13.7,5
"York, VA",51199,52602,4.2,32
"Alexandria, VA",51510,117915,7.7,199
"Bedford, VA",51515,6102,20.3,8
"Bristol, VA",51520,18343,18.2,16
"Buena Vista, VA",51530,6484,14.2,0
"Charlottesville, VA",51540,41892,23.7,73
"Chesapeake, VA",51550,184024,6.8,298
"Clifton Forge, VA",51560,4504,0,0
"Colonial Heights, VA",51570,16648,7.2,11
"Covington, VA",51580,7036,13.4,1
"Danville, VA",51590,52329,24.3,88
"Emporia, VA",51595,5941,18.5,17
"Fairfax, VA",51600,21012,5.2,3
"Falls Church, VA",51610,9484,2.9,12
"Franklin, VA",51620,8538,20.1,27
"Fredericksburg, VA",51630,20748,17,41
"Galax, VA",51640,6866,20.7,4
"Hampton, VA",51650,143427,13.4,276
"Harrisonburg, VA",51660,35265,26.9,36
"Hopewell, VA",51670,23062,16.6,56
"Lexington, VA",51678,6974,20.3,5
"Lynchburg, VA",51680,65940,19.2,73
"Manassas, VA",51683,32304,6.8,65
"Manassas Park, VA",51685,8291,6.1,5
"Martinsville, VA",51690,16203,21.1,21
"Newport News, VA",51700,179469,14.2,540
"Norfolk, VA",51710,244623,18.9,898
"Norton, VA",51720,4140,22.1,0
"Petersburg, VA",51730,35538,21.8,151
"Poquoson, VA",51735,11299,4.6,0
"Portsmouth, VA",51740,103105,17.2,366
"Radford, VA",51750,15712,28.2,8
"Richmond, VA",51760,197430,19.9,1209
"Roanoke, VA",51770,97604,17.2,227
"Salem, VA",51775,24276,7.8,13
"South Boston, VA",51780,0,0,0
"Staunton, VA",51790,24488,13.7,13
"Suffolk, VA",51800,55358,11.9,119
"Virginia Beach, VA",51810,421893,7.4,621
"Waynesboro, VA",51820,18851,13.4,17
"Williamsburg, VA",51830,12462,22.7,14
"Winchester, VA",51840,22728,12.4,34
WASHINGTON,53000,5481027,12,5775
"Adams, WA",53001,15711,18.3,13
"Asotin, WA",53003,19894,17.6,7
"Benton, WA",53005,134740,11.1,49
"Chelan, WA",53007,60569,13.9,18
"Clallam, WA",53009,62108,12.8,13
"Clark, WA",53011,294656,11.5,239
"Columbia, WA",53013,4148,13.6,1
"Cowlitz, WA",53015,89284,15,55
"Douglas, WA",53017,31107,15.1,10
"Ferry, WA",53019,7121,20,0
"Franklin, WA",53021,45761,17.8,33
"Garfield, WA",53023,2326,14.3,0
"Grant, WA",53025,66369,17.3,43
"Grays Harbor, WA",53027,67273,17.2,36
"Island, WA",53029,66654,8,10
"Jefferson, WA",53031,24377,11.5,3
"King, WA",53033,1631940,9.6,2683
"Kitsap, WA",53035,223391,9,119
"Kittitas, WA",53037,30766,21.7,5
"Klickitat, WA",53039,17931,17.4,2
"Lewis, WA",53041,65690,16.3,24
"Lincoln, WA",53043,9662,12.6,0
"Mason, WA",53045,46419,14.5,22
"Okanogan, WA",53047,37492,21.8,6
"Pacific, WA",53049,20907,15.8,4
"Pend Oreille, WA",53051,10776,18.7,1
"Pierce, WA",53053,648820,11.3,1122
"San Juan, WA",53055,12305,9.2,0
"Skagit, WA",53057,94053,13.3,52
"Skamania, WA",53059,9010,11.1,2
"Snohomish, WA",53061,533870,8.8,413
"Spokane, WA",53063,404652,14.6,362
"Stevens, WA",53065,37393,17.5,9
"Thurston, WA",53067,192013,10.6,101
"Wahkiakum, WA",53069,3665,10.2,0
"Walla Walla, WA",53071,53747,18.6,14
"Whatcom, WA",53073,151369,13.9,82
"Whitman, WA",53075,40457,26.6,4
"Yakima, WA",53077,212601,21.5,218
WEST VIRGINIA,54000,1823700,18,767
"Barbour, WV",54001,15948,21.9,2
"Berkeley, WV",54003,67117,10.6,46
"Boone, WV",54005,25928,19.8,3
"Braxton, WV",54007,14027,23.5,2
"Brooke, WV",54009,26645,11.9,10
"Cabell, WV",54011,98611,20.1,166
"Calhoun, WV",54013,7708,23.2,0
"Clay, WV",54015,10192,27,1
"Doddridge, WV",54017,7235,19.6,0
"Fayette, WV",54019,48772,22.1,8
"Gilmer, WV",54021,7287,24.8,0
"Grant, WV",54023,11151,16.3,0
"Greenbrier, WV",54025,35190,17.6,3
"Hampshire, WV",54027,18608,16.1,0
"Hancock, WV",54029,34272,11.7,5
"Hardy, WV",54031,11872,13.4,1
"Harrison, WV",54033,69902,18.6,14
"Jackson, WV",54035,26892,16.1,2
"Jefferson, WV",54037,39241,9.4,7
"Kanawha, WV",54039,206702,15.1,171
"Lewis, WV",54041,17287,20.3,2
"Lincoln, WV",54043,21847,25,4
"Logan, WV",54045,41243,24.2,27
"McDowell, WV",54047,31338,38.9,4
"Marion, WV",54049,58221,17.7,22
"Marshall, WV",54051,36852,15.1,2
"Mason, WV",54053,25642,20,3
"Mercer, WV",54055,64379,22.1,40
"Mineral, WV",54057,27277,14.7,10
"Mingo, WV",54059,31891,25.9,3
"Monongalia, WV",54061,80507,22.1,52
"Monroe, WV",54063,13559,15.8,0
"Morgan, WV",54065,13622,11.1,2
"Nicholas, WV",54067,27056,18.6,2
"Ohio, WV",54069,49601,15.1,33
"Pendleton, WV",54071,8242,12,2
"Pleasants, WV",54073,7532,13.7,0
"Pocahontas, WV",54075,9145,17.4,1
"Preston, WV",54077,29740,17.6,2
"Putnam, WV",54079,48397,10.3,10
"Raleigh, WV",54081,78799,18.3,40
"Randolph, WV",54083,28595,17.3,4
"Ritchie, WV",54085,10137,16.9,0
"Roane, WV",54087,15239,21.5,0
"Summers, WV",54089,13668,27.3,2
"Taylor, WV",54091,15714,19.3,0
"Tucker, WV",54093,7672,18.1,0
"Tyler, WV",54095,9971,16.9,0
"Upshur, WV",54097,23549,21,0
"Wayne, WV",54099,42945,20.4,16
"Webster, WV",54101,10267,29,0
"Wetzel, WV",54103,18511,18.3,0
"Wirt, WV",54105,5555,20.6,1
"Wood, WV",54107,88873,18.1,42
"Wyoming, WV",54109,27527,25.2,0
WISCONSIN,55000,5184836,10.2,4532
"Adams, WI",55001,17246,12.4,1
"Ashland, WI",55003,16847,14.8,0
"Barron, WI",55005,43379,10.5,6
"Bayfield, WI",55007,14621,11.2,0
"Brown, WI",55009,214669,9.3,74
"Buffalo, WI",55011,13671,8.8,0
"Burnett, WI",55013,14418,11.7,1
"Calumet, WI",55015,37703,4.8,2
"Chippewa, WI",55017,54082,9.2,3
"Clark, WI",55019,32594,12,1
"Columbia, WI",55021,49241,6.2,4
"Crawford, WI",55023,16906,11.4,0
"Dane, WI",55025,406579,11.1,411
"Dodge, WI",55027,80163,6.7,4
"Door, WI",55029,27031,7.3,0
"Douglas, WI",55031,42840,12.4,13
"Dunn, WI",55033,38193,12,1
"Eau Claire, WI",55035,89868,11.9,27
"Florence, WI",55037,5197,10.4,0
"Fond du Lac, WI",55039,94509,7.6,11
"Forest, WI",55041,9504,12.9,0
"Grant, WI",55043,49589,12.3,2
"Green, WI",55045,32256,7,0
"Green Lake, WI",55047,19087,7.4,1
"Iowa, WI",55049,21618,6.8,0
"Iron, WI",55051,6771,14.5,1
"Jackson, WI",55053,17733,10.1,3
"Jefferson, WI",55055,72633,7,11
"Juneau, WI",55057,23431,12.8,4
"Kenosha, WI",55059,140622,9.3,129
"Kewaunee, WI",55061,19456,6.4,0
"La Crosse, WI",55063,103640,12.6,26
"Lafayette, WI",55065,16500,8.4,1
"Langlade, WI",55067,20506,11.8,1
"Lincoln, WI",55069,28737,8.2,1
"Manitowoc, WI",55071,82418,8.3,2
"Marathon, WI",55073,121649,6.8,27
"Marinette, WI",55075,42612,9.9,3
"Marquette, WI",55077,14211,9.8,0
"Menominee, WI",55078,4471,26.3,4
"Milwaukee, WI",55079,954978,18.4,3216
"Monroe, WI",55081,39080,11,4
"Oconto, WI",55083,32640,8.7,0
"Oneida, WI",55085,35098,8.2,1
"Outagamie, WI",55087,150953,6.3,19
"Ozaukee, WI",55089,79181,3.4,2
"Pepin, WI",55091,7084,9,0
"Pierce, WI",55093,34765,7.3,3
"Polk, WI",55095,38151,7.4,1
"Portage, WI",55097,65730,11.3,5
"Price, WI",55099,15959,9.3,0
"Racine, WI",55101,184808,10.4,267
"Richland, WI",55103,17704,12,0
"Rock, WI",55105,148179,8.8,113
"Rusk, WI",55107,15321,14.2,2
"St. Croix, WI",55109,55496,4.7,4
"Sauk, WI",55111,51392,7.8,6
"Sawyer, WI",55113,15598,13.5,0
"Shawano, WI",55115,38832,9.6,2
"Sheboygan, WI",55117,109672,6.2,12
"Taylor, WI",55119,19432,9.9,0
"Trempealeau, WI",55121,26012,9.4,3
"Vernon, WI",55123,27222,15.8,1
"Vilas, WI",55125,19860,9.1,2
"Walworth, WI",55127,84933,8.8,7
"Washburn, WI",55129,14981,11.3,2
"Washington, WI",55131,109609,5,16
"Waukesha, WI",55133,337579,3.8,43
"Waupaca, WI",55135,49584,7.9,2
"Waushara, WI",55137,21522,10.3,1
"Winnebago, WI",55139,150725,9.3,21
"Wood, WI",55141,75555,8.5,2
WYOMING,56000,485160,10.6,77
"Albany, WY",56001,32742,18.2,2
"Big Horn, WY",56003,11228,13,0
"Campbell, WY",56005,31440,7,6
"Carbon, WY",56007,16174,13.1,4
"Converse, WY",56009,11713,10.2,0
"Crook, WY",56011,5682,8.2,0
"Fremont, WY",56013,35419,14.9,6
"Goshen, WY",56015,12522,16.2,1
"Hot Springs, WY",56017,4828,11.5,0
"Johnson, WY",56019,6672,9.2,1
"Laramie, WY",56021,79513,9.7,22
"Lincoln, WY",56023,14073,7.8,0
"Natrona, WY",56025,65687,11,16
"Niobrara, WY",56027,2483,13.1,0
"Park, WY",56029,25481,10.3,2
"Platte, WY",56031,8453,11.7,1
"Sheridan, WY",56033,25663,9.1,1
"Sublette, WY",56035,5515,7.2,0
"Sweetwater, WY",56037,39849,7.6,7
"Teton, WY",56039,14907,6.1,3
"Uinta, WY",56041,19884,10.5,4
"Washakie, WY",56043,8511,12.6,0
"Weston, WY",56045,6721,9.4,1
